forecast_date,target,target_end_date,location,type,quantile,value
2020-10-25,1 wk ahead cum death,2020-10-31,Alabama,point,,2966
2020-10-25,1 wk ahead cum death,2020-10-31,Alaska,point,,104
2020-10-25,1 wk ahead cum death,2020-10-31,Arizona,point,,5930
2020-10-25,1 wk ahead cum death,2020-10-31,Arkansas,point,,1899
2020-10-25,1 wk ahead cum death,2020-10-31,California,point,,17681
2020-10-25,1 wk ahead cum death,2020-10-31,Colorado,point,,2314
2020-10-25,1 wk ahead cum death,2020-10-31,Connecticut,point,,4599
2020-10-25,1 wk ahead cum death,2020-10-31,Delaware,point,,692
2020-10-25,1 wk ahead cum death,2020-10-31,,point,,647
2020-10-25,1 wk ahead cum death,2020-10-31,Florida,point,,16891
2020-10-25,1 wk ahead cum death,2020-10-31,Georgia,point,,7977
2020-10-25,1 wk ahead cum death,2020-10-31,Hawaii,point,,228
2020-10-25,1 wk ahead cum death,2020-10-31,Idaho,point,,626
2020-10-25,1 wk ahead cum death,2020-10-31,Illinois,point,,9953
2020-10-25,1 wk ahead cum death,2020-10-31,Indiana,point,,4260
2020-10-25,1 wk ahead cum death,2020-10-31,Iowa,point,,1738
2020-10-25,1 wk ahead cum death,2020-10-31,Kansas,point,,1076
2020-10-25,1 wk ahead cum death,2020-10-31,Kentucky,point,,1517
2020-10-25,1 wk ahead cum death,2020-10-31,Louisiana,point,,5890
2020-10-25,1 wk ahead cum death,2020-10-31,Maine,point,,157
2020-10-25,1 wk ahead cum death,2020-10-31,Maryland,point,,4134
2020-10-25,1 wk ahead cum death,2020-10-31,Massachusetts,point,,9923
2020-10-25,1 wk ahead cum death,2020-10-31,Michigan,point,,7656
2020-10-25,1 wk ahead cum death,2020-10-31,Minnesota,point,,2500
2020-10-25,1 wk ahead cum death,2020-10-31,Mississippi,point,,3333
2020-10-25,1 wk ahead cum death,2020-10-31,Missouri,point,,2985
2020-10-25,1 wk ahead cum death,2020-10-31,Montana,point,,366
2020-10-25,1 wk ahead cum death,2020-10-31,Nebraska,point,,699
2020-10-25,1 wk ahead cum death,2020-10-31,Nevada,point,,1782
2020-10-25,1 wk ahead cum death,2020-10-31,New Hampshire,point,,484
2020-10-25,1 wk ahead cum death,2020-10-31,New Jersey,point,,16338
2020-10-25,1 wk ahead cum death,2020-10-31,New Mexico,point,,1004
2020-10-25,1 wk ahead cum death,2020-10-31,New York,point,,33541
2020-10-25,1 wk ahead cum death,2020-10-31,North Carolina,point,,4313
2020-10-25,1 wk ahead cum death,2020-10-31,North Dakota,point,,513
2020-10-25,1 wk ahead cum death,2020-10-31,Ohio,point,,5332
