State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k,Age_Adjusted_Deaths_LT_65_Per100k,Age_Adjusted_Deaths_GTE_65_Per100k,Excess_Age_Adjusted_Deaths_LT_65_Per100k,Excess_Age_Adjusted_Deaths_GTE_65_Per100k
30,1,2018,31,Constant,21,0.0,0,21,0.0,0.0
30,1,2019,31,Constant,0,0.0,0,0,0.0,0.0
30,1,2020,31,Constant,0,-18.6,0,0,-8.4,-10.2
30,1,2015,31,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,31,Lagged,32,0.0,21,10,0.0,0.0
30,1,2017,31,Lagged,31,0.0,21,10,0.0,0.0
30,1,2018,31,Lagged,21,0.0,0,21,0.0,0.0
30,1,2019,31,Lagged,0,0.0,0,0,0.0,0.0
30,1,2020,31,Lagged,0,-18.8,0,0,-8.4,-10.2
30,1,2015,32,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,32,Constant,10,0.0,10,0,0.0,0.0
30,1,2017,32,Constant,31,0.0,0,31,0.0,0.0
30,1,2018,32,Constant,0,0.0,0,0,0.0,0.0
30,1,2019,32,Constant,52,0.0,21,31,0.0,0.0
30,1,2020,32,Constant,0,-20.6,0,0,-6.2,-14.4
30,1,2015,32,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,32,Lagged,10,0.0,10,0,0.0,0.0
30,1,2017,32,Lagged,31,0.0,0,31,0.0,0.0
30,1,2018,32,Lagged,0,0.0,0,0,0.0,0.0
30,1,2019,32,Lagged,53,0.0,21,31,0.0,0.0
30,1,2020,32,Lagged,0,-20.8,0,0,-6.2,-14.4
30,1,2015,33,Constant,10,0.0,10,0,0.0,0.0
30,1,2016,33,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,33,Constant,31,0.0,0,31,0.0,0.0
30,1,2018,33,Constant,31,0.0,0,31,0.0,0.0
30,1,2019,33,Constant,10,0.0,10,0,0.0,0.0
30,1,2020,33,Constant,0,-18.4,0,0,-4.0,-14.4
30,1,2015,33,Lagged,10,0.0,10,0,0.0,0.0
30,1,2016,33,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,33,Lagged,31,0.0,0,31,0.0,0.0
30,1,2018,33,Lagged,31,0.0,0,31,0.0,0.0
30,1,2019,33,Lagged,10,0.0,10,0,0.0,0.0
30,1,2020,33,Lagged,0,-18.4,0,0,-4.0,-14.4
30,1,2015,34,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,34,Constant,21,0.0,0,21,0.0,0.0
30,1,2017,34,Constant,31,0.0,0,31,0.0,0.0
30,1,2018,34,Constant,31,0.0,0,31,0.0,0.0
30,1,2019,34,Constant,31,0.0,0,31,0.0,0.0
30,1,2020,34,Constant,0,-24.8,0,0,0.0,-24.8
30,1,2015,34,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,34,Lagged,21,0.0,0,21,0.0,0.0
30,1,2017,34,Lagged,31,0.0,0,31,0.0,0.0
30,1,2018,34,Lagged,31,0.0,0,31,0.0,0.0
30,1,2019,34,Lagged,31,0.0,0,31,0.0,0.0
30,1,2020,34,Lagged,0,-24.8,0,0,0.0,-24.8
30,1,2015,35,Constant,21,0.0,0,21,0.0,0.0
30,1,2016,35,Constant,42,0.0,0,42,0.0,0.0
30,1,2017,35,Constant,21,0.0,21,0,0.0,0.0
30,1,2018,35,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,35,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,35,Constant,0,-20.8,0,0,-4.2,-16.6
30,1,2015,35,Lagged,21,0.0,0,21,0.0,0.0
30,1,2016,35,Lagged,43,0.0,0,43,0.0,0.0
30,1,2017,35,Lagged,21,0.0,21,0,0.0,0.0
30,1,2018,35,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,35,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,35,Lagged,0,-21.0,0,0,-4.2,-16.8
30,1,2015,36,Constant,10,0.0,0,10,0.0,0.0
