state,county,year,week_num,total_deaths,female_deaths,male_deaths,less_than_65_deaths,greater_than_65_deaths
MT,3,2018,22,1,0,1,0,1
MT,3,2019,22,2,0,2,0,2
MT,3,2020,22,5,3,2,2,3
MT,3,2015,23,2,0,2,0,2
MT,3,2016,23,2,0,2,0,2
MT,3,2017,23,1,0,1,1,0
MT,3,2018,23,1,0,1,1,0
MT,3,2019,23,2,2,0,0,2
MT,3,2020,23,1,0,1,1,0
MT,3,2015,24,0,0,0,0,0
MT,3,2016,24,3,0,3,2,1
MT,3,2017,24,4,1,3,3,1
MT,3,2018,24,2,1,1,0,2
MT,3,2019,24,2,0,2,2,0
MT,3,2020,24,2,1,1,2,0
MT,3,2015,25,3,3,0,1,2
MT,3,2016,25,1,0,1,0,1
MT,3,2017,25,4,3,1,1,3
MT,3,2018,25,2,1,1,2,0
MT,3,2019,25,1,0,1,0,1
MT,3,2020,25,3,1,2,2,1
MT,3,2015,26,2,1,1,1,1
MT,3,2016,26,2,0,2,2,0
MT,3,2017,26,0,0,0,0,0
MT,3,2018,26,4,1,3,1,3
MT,3,2019,26,2,2,0,2,0
MT,3,2020,26,7,4,3,6,1
MT,3,2015,27,2,1,1,1,1
MT,3,2016,27,2,1,1,2,0
MT,3,2017,27,4,1,3,2,2
MT,3,2018,27,0,0,0,0,0
MT,3,2019,27,3,0,3,3,0
MT,3,2020,27,0,0,0,0,0
MT,3,2015,28,1,0,1,0,1
MT,3,2016,28,4,2,2,4,0
MT,3,2017,28,0,0,0,0,0
MT,3,2018,28,1,0,1,0,1
MT,3,2019,28,2,0,2,2,0
MT,3,2020,28,1,1,0,0,1
MT,3,2015,29,2,2,0,2,0
MT,3,2016,29,1,0,1,1,0
MT,3,2017,29,1,0,1,0,1
MT,3,2018,29,0,0,0,0,0
MT,3,2019,29,0,0,0,0,0
MT,3,2020,29,1,0,1,1,0
MT,3,2015,30,1,0,1,0,1
MT,3,2016,30,2,1,1,1,1
MT,3,2017,30,1,1,0,0,1
MT,3,2018,30,3,1,2,0,3
MT,3,2019,30,3,1,2,2,1
MT,3,2020,30,0,0,0,0,0
MT,3,2015,31,2,1,1,2,0
MT,3,2016,31,2,1,1,2,0
MT,3,2017,31,5,2,3,3,2
MT,3,2018,31,2,2,0,1,1
MT,3,2019,31,2,2,0,0,2
MT,3,2020,31,0,0,0,0,0
MT,3,2015,32,2,1,1,1,1
MT,3,2016,32,0,0,0,0,0
MT,3,2017,32,1,1,0,0,1
MT,3,2018,32,6,3,3,5,1
MT,3,2019,32,1,0,1,1,0
MT,3,2020,32,0,0,0,0,0
MT,3,2015,33,3,2,1,2,1
MT,3,2016,33,4,3,1,1,3
MT,3,2017,33,0,0,0,0,0
MT,3,2018,33,3,0,3,1,2
MT,3,2019,33,1,1,0,1,0
MT,3,2020,33,0,0,0,0,0
MT,3,2015,34,3,2,1,2,1
MT,3,2016,34,2,2,0,2,0
MT,3,2017,34,2,1,1,1,1
MT,3,2018,34,3,2,1,2,1
MT,3,2019,34,4,0,4,2,2
MT,3,2020,34,0,0,0,0,0
MT,3,2015,35,2,0,2,2,0
MT,3,2016,35,2,2,0,1,1
MT,3,2017,35,0,0,0,0,0
MT,3,2018,35,1,1,0,0,1
MT,3,2019,35,4,1,3,2,2
MT,3,2020,35,0,0,0,0,0
MT,3,2015,36,3,0,3,2,1
MT,3,2016,36,2,0,2,2,0
MT,3,2017,36,0,0,0,0,0
